glue	clamp	overlap	sticks	colour	caliper	force	break	area	stress
C	C	L	2	B	29.6	10.4	w	262.5	388.7
C	C	L	2	B	29.9	10.9	w	265.3	403.0
C	C	L	2	B	31.5	11.9	w	280.6	416.1
C	C	L	2	B	27	11.9	w	237.7	491.1
C	C	L	2	B	29.1	11.9	w	257.7	453.0
C	C	L	2	B	29	13	g	256.8	496.7
C	C	L	2	B	28.2	13	w	249.1	511.9
C	C	L	2	B	29.6	13.6	w	262.5	508.3
C	C	L	2	B	30	14.7	w	266.3	541.6
C	C	L	2	B	28.5	14.7	w	252.0	572.3
C	C	L	2	B	30	13	g	266.3	478.9
C	C	L	2	B	28.5	8	w	252.0	311.4
C	C	L	2	B	28	8.5	w	247.2	337.3
C	C	L	2	B	27.8	9.2	w	245.3	367.9
C	C	L	2	B	27	9.2	g	237.7	379.7
C	C	L	2	B	28.2	9.5	w	249.1	374.1
C	C	L	2	B	29.8	10.5	g	264.4	389.6
C	C	L	2	B	28.6	10.8	g	252.9	418.9
C	C	L	2	B	28.4	11	w	251.0	429.9
C	C	L	2	B	27.7	11.5	g	244.4	461.7
C	C	L	2	B	29.1	11.6	w	257.7	441.6
C	C	L	2	B	28	11.9	g	247.2	472.2
C	C	L	2	B	29.8	12	g	264.4	445.3
C	C	L	2	B	27.5	12.4	w	242.5	501.7
C	C	L	2	B	29	13.5	g	256.8	515.8
C	C	L	2	B	29.7	14.5	w	263.4	540.0
C	C	L	2	B	28.7	14.5	w	253.9	560.3
C	C	L	2	B	27.3	10.4	g	240.6	424.1
C	C	L	2	B	29	10.7	g	256.8	408.8
C	C	L	2	B	28	11.5	g	247.2	456.3
C	C	L	2	B	29.4	13.2	w	260.6	497.0
C	C	M	2	B	19.8	9.2	g	169.1	533.7
C	C	M	2	B	18.8	9.3	w	159.6	571.7
C	C	M	2	B	20.4	9.3	w	174.8	521.8
C	C	M	2	B	18.5	9.4	g	156.7	588.3
C	C	M	2	B	18.7	9.6	w	158.6	593.6
C	C	M	2	B	20.5	9.7	g	175.8	541.3
C	C	M	2	B	19.5	9.9	g	166.3	584.1
C	C	M	2	B	19.7	9.9	w	168.2	577.5
C	C	M	2	B	18.9	10	g	160.5	611.0
C	C	M	2	B	18.6	10.1	w	157.7	628.3
C	C	M	2	B	19.5	10.2	w	166.3	601.8
C	C	M	2	B	20.9	10.6	w	179.6	579.0
C	C	M	2	B	18.7	10.6	g	158.6	655.5
C	C	M	2	B	19.7	10.6	w	168.2	618.3
C	C	M	2	B	20	12.5	w	171.0	717.0
C	C	M	2	B	17.6	7	w	148.2	463.5
C	C	M	2	B	20.6	9.2	w	176.7	510.6
C	C	M	2	B	20.6	9.9	w	176.7	549.5
C	C	M	2	B	20	10.1	w	171.0	579.3
C	C	M	2	B	19.5	10.4	w	166.3	613.6
C	C	M	2	B	20	10.5	g	171.0	602.3
C	C	M	2	B	21	10.6	w	180.6	575.9
C	C	M	2	B	18.9	11	g	160.5	672.1
C	C	M	2	B	24	11.2	g	209.1	525.4
C	C	M	2	B	20	11.3	w	171.0	648.2
C	C	M	2	B	19.5	11.6	w	166.3	684.4
C	C	M	2	B	19.3	12	w	164.4	716.2
C	C	M	2	B	21.9	12.3	g	189.1	638.0
C	C	M	2	C	20	7	w	171.0	401.5
C	C	M	2	C	18.5	6	g	156.7	375.5
C	C	M	2	C	19.1	7	g	162.5	422.7
C	C	M	2	C	19	7.4	w	161.5	449.5
C	C	M	2	C	19.3	8.2	g	164.4	489.4
C	C	M	2	C	19	8.4	g	161.5	510.2
C	C	M	2	C	19.2	8.5	w	163.4	510.3
C	C	M	2	C	19	8.7	w	161.5	528.5
C	C	M	2	C	19.5	8.7	w	166.3	513.3
C	C	M	2	C	19.5	9	w	166.3	531.0
C	C	M	2	C	20	9.1	w	171.0	522.0
C	C	M	2	C	19	9.1	g	161.5	552.8
C	C	M	2	C	19.6	9.8	g	167.2	574.9
C	C	M	2	C	19	9.8	g	161.5	595.3
C	C	M	2	C	19	6.3	w	161.5	382.7
C	C	M	2	C	19	6.4	g	161.5	388.8
C	C	M	2	C	19.5	8.5	g	166.3	501.5
C	C	M	2	C	19.7	8.6	g	168.2	501.7
C	C	M	2	C	20.3	8.6	w	173.9	485.2
C	C	M	2	C	22	8.7	w	190.1	449.0
C	C	M	2	C	19	9	g	161.5	546.7
C	C	M	2	C	23.2	9	g	201.5	438.2
C	C	M	2	C	19.5	9.1	g	166.3	536.9
C	C	M	2	C	23	9.2	g	199.6	452.2
C	C	M	2	C	19	9.4	g	161.5	571.0
C	C	M	2	C	19	9.5	g	161.5	577.1
C	C	M	2	C	21	9.6	w	180.6	521.6
C	C	M	2	C	19.1	9.6	w	162.5	579.7
C	C	M	2	C	19.8	10.7	g	169.1	620.7
C	C	M	3	B	17.6	6	g	148.2	397.3
C	C	M	3	B	21.1	11.3	w	181.5	610.7
C	C	M	3	B	18.5	14.3	g	156.7	895.0
C	C	M	3	B	19	15	w	161.5	911.1
C	C	M	3	B	19.7	15	w	168.2	875.0
C	C	M	3	B	19.7	16.6	w	168.2	968.4
C	C	M	3	B	19.7	18	g	168.2	1050.0
C	C	M	3	B	18	18.3	g	152.0	1181.3
C	C	M	3	B	18.6	19	w	157.7	1182.0
C	C	M	3	B	18.6	19.5	w	157.7	1213.1
C	C	M	3	B	18.7	19.8	w	158.6	1224.4
